类型编号,类型
0,交通设施服务
1,住宿服务
2,体育休闲服务
3,公共设施
4,公司企业
5,医疗保健服务
6,商务住宅
7,摩托车服务
8,政府机构及社会团体
9,汽车服务
10,汽车维修
11,汽车销售
12,生活服务
13,科教文化服务
14,购物服务
15,道路附属设施
16,金融保险服务
17,风景名胜
18,餐饮服务
19,专卖店
20,丧葬设施
21,个人用品/化妆品店
22,中介机构
23,中餐厅
24,事务所
25,二手车交易
26,交通车辆管理
27,产业园区
28,人才市场
29,休闲场所
30,休闲餐饮场所
31,会展中心
32,传媒机构
33,住宅区
34,体育用品店
35,便民商店/便利店
36,保险公司
37,信息咨询中心
38,停车场
39,公交车站
40,公共厕所
41,公园广场
42,公检法机构
43,公用电话
44,其它能源站
45,农林牧渔基地
46,冶金化工
47,冷饮店
48,加气站
49,加油站
50,动物医疗场所
51,医药保健销售店
52,医药公司
53,医院
54,博物馆
55,咖啡厅
56,售票处
57,商业贸易
58,商场
59,国家级景点
60,图书馆
61,地铁站
62,培训机构
63,外国机构
64,外国餐厅
65,娱乐场所
66,婴儿服务场所
67,学校
68,家居建材市场
69,家电电子卖场
70,宾馆酒店
71,寺庙道观
72,展览馆
73,工厂
74,工商税务机构
75,广告装饰
76,度假疗养场所
77,建筑公司
78,彩票彩券销售点
79,影剧院
80,快餐厅
81,报刊亭
82,搬家公司
83,摄影冲印店
84,政府机关
85,文化宫
86,文化用品店
87,文艺团体
88,旅行社
89,旅馆招待所
90,服装鞋帽皮具店
91,机械电子
92,档案馆
93,民主党派
94,汽车俱乐部
95,汽车养护/装饰
96,汽车救援
97,汽车租赁
98,汽车配件销售
99,洗浴推拿场所
100,洗衣店
101,洗车场
102,港口码头
103,火车站
104,物流速递
105,特殊买卖场所
106,特色商业街
107,甜品店
108,电信公司
109,电力营业厅
110,电讯营业厅
111,矿产公司
112,科技馆
113,科研机构
114,糕饼店
115,紧急避难场所
116,纪念馆
117,维修站点
118,综合市场
119,网络科技
120,美容美发店
121,美术馆
122,自动提款机
123,自来水营业厅
124,花鸟鱼虫市场
125,茶艺馆
126,证券公司
127,超级市场
128,轻轨站
129,过境口岸
130,运动场馆
131,邮局
132,银行
133,长途汽车站
134,飞机场
135,驾校
136,KTV
137,东北菜
138,中学
139,中式素菜馆
140,乒乓球馆
141,书店
142,云贵菜
143,会计师事务所
144,传染病医院
145,健身中心
146,儿童用品店
147,公园景点售票处
148,农副产品市场
149,口腔医院
150,古玩字画店
151,台湾菜
152,台球厅
153,四川菜(川菜)
154,土特产专卖店
155,垂钓园
156,夜总会
157,妇科医院
158,宠物用品店
159,小学
160,幼儿园
161,广东菜(粤菜)
162,律师事务所
163,意式菜品餐厅
164,成人教育
165,拍卖行
166,摄影器材店
167,整形美容
168,日本料理
169,旧货市场
170,果品市场
171,棋牌室
172,水产海鲜市场
173,泰国/越南菜品餐厅
174,浙江菜
175,海鲜酒楼
176,清真菜馆
177,游乐场
178,游戏厅
179,游泳馆
180,湖南菜(湘菜)
181,溜冰场
182,火车票代售点
183,火锅店
184,烟酒专卖店
185,牛扒店(扒房)
186,特色/地方风味餐厅
187,珠宝首饰工艺品
188,眼科医院
189,眼镜店
190,礼品饰品店
191,篮球场馆
192,综合酒楼
193,网吧
194,网球场
195,羽毛球场
196,耳鼻喉医院
197,职业技术学校
198,肿瘤医院
199,自行车专卖店
200,蔬菜市场
201,西北菜
202,西餐厅(综合风味)
203,评估事务所
204,足球场
205,跆拳道场馆
206,迪厅
207,酒吧
208,采摘园
209,钟表店
210,韩国料理
211,音像店
212,飞机票代售点
213,骨科医院
214,高尔夫相关
215,高等院校
